log_Total_Sales,log_Avg_Sales,Store_Count,Avg_MRP,log_Avg_Visibility,Item_Weight,Sales_Per_Store,Price_Per_Unit_Weight,Item_Identifier,cluster_producto
0.1820469211344379,-0.0266125013341402,0.348838464535604,0.0137689185423031,-0.4633372005363659,-0.2601168412978361,-0.308000668153956,-0.0682702491918804,DRA12,0
0.6986767201180023,0.3021092251359336,1.0032778943924114,0.3717009574585447,-0.4605152291305733,1.4084771092043034,0.0477670204582339,-0.5340327192867574,DRA24,1
1.1178452221067627,0.554747702599299,1.657717324249219,0.7114588615538838,1.763569848603297,-0.9770739839006908,0.3731309856224063,1.193937214381453,DRA59,2
-1.121573127934402,-0.3499457298085486,-1.6144798250348182,0.7824356527258391,0.2785021703830743,-1.1665401356996432,-0.595690911035961,1.5991901325593696,DRB01,0
0.3192115814368039,0.4321975912903606,-0.3056009653212034,0.7841537900837192,-1.3609785723092005,-1.4410507533628982,0.2091357807075615,2.265754753207269,DRB13,2
0.3262819665043057,0.8116047068269925,-0.9600403951780108,0.2167271154494478,-1.0734704812539044,-0.8661932246092581,0.758630027848242,0.5966318198963296,DRB24,2
0.0292739792863511,-0.1996684450097922,0.348838464535604,-0.5495374479406019,0.175321388479085,-0.1094051296395777,-0.4689071741421532,-0.5078725222020232,DRB25,0
-1.1854306743353884,-1.8315056921581752,1.0032778943924114,-1.639054061298566,-0.9149523396264848,0.8486907516164887,-1.3866499749455572,-1.296231648213046,DRB48,3
-0.9343207854472212,-1.290942065820487,0.348838464535604,-1.482560127943109,-1.105283481620133,-1.4830347301819846,-1.1751896620355002,-0.5598822454760984,DRC01,3
-0.1291783984521576,0.2955778148881053,-0.9600403951780108,0.7926231334222199,-0.6857906655794318,1.0855234413651795,0.0399927442483054,-0.2636828776759422,DRC12,1
-0.5926224322320864,-0.2294388377794319,-0.9600403951780108,-0.2691986397779276,-0.8051650669599348,-0.9792270083529516,-0.4949404936667518,0.2818005506502641,DRC13,0
-0.6435322766414194,0.8664515432623128,-2.268919254891625,0.1987543248501725,-0.9759192123316331,1.0855234413651795,0.848937701227358,-0.5202347199398358,DRC24,1
-0.3121223937194693,-0.8428062324822044,1.0032778943924114,-0.8823633581199402,-0.2821356708017064,-1.52394219477494,-0.9396080813173412,0.2819081269095096,DRC25,0
